"ALDOA","HGNC:414","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:414","2016-08-22T17:45:54+00:00"
"ALG1","HGNC:18294","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18294","2016-08-22T17:45:54+00:00"
"ALG2","HGNC:23159","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:23159","2016-08-22T17:45:56+00:00"
"ALG6","HGNC:23157","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:23157","2016-08-22T17:45:57+00:00"
"ALG12","HGNC:19358","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:19358","2016-08-22T17:45:55+00:00"
"ALG13","HGNC:30881","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:30881","2025-04-23T12:39:23-04:00"
"ALK","HGNC:427","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:427","2025-06-23T16:06:55-04:00"
"ALMS1","HGNC:428","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:428","2016-08-22T17:45:58+00:00"
"ALS2","HGNC:443","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:443","2026-02-05T15:15:17-05:00"
"ALX4","HGNC:450","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:450","2020-07-22T17:39:04+00:00"
"AMH","HGNC:464","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:464","2016-08-22T17:45:59+00:00"
"AMN","HGNC:14604","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:14604","2016-08-22T17:46:00+00:00"
"ANGPTL3","HGNC:491","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:491","2026-06-30T16:27:48-04:00"
"ANK2","HGNC:493","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:493","2025-01-14T12:11:45-05:00"
"ANKH","HGNC:15492","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:15492","2022-02-23T18:51:21+00:00"
"ANKRD11","HGNC:21316","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21316","2022-06-14T16:16:46+00:00"
"ANKRD17","HGNC:23575","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:23575","2023-04-11T16:22:41+00:00"
"ANKRD26","HGNC:29186","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:29186","2023-10-10T16:23:50+00:00"
"ANKS1B","HGNC:24600","Little Evidence for Haploinsufficiency","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:24600","2026-06-09T12:58:55-04:00"
"ANKS6","HGNC:26724","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:26724","2016-08-22T17:46:02+00:00"
"ANOS1","HGNC:6211","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:6211","2021-05-26T17:04:49+00:00"
"ANTXR2","HGNC:21732","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21732","2025-11-21T11:36:41-05:00"
"AP1S2","HGNC:560","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:560","2021-04-28T16:13:16+00:00"
"AP4B1","HGNC:572","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:572","2025-11-21T11:57:07-05:00"
"AP4S1","HGNC:575","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:575","2026-02-27T11:38:46-05:00"
"APC","HGNC:583","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:583","2021-07-18T22:10:32-04:00"
"APOB","HGNC:603","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:603","2020-04-09T20:59:06+00:00"
"APOC2","HGNC:609","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:609","2016-08-22T17:46:06+00:00"
"APP","HGNC:620","No Evidence for Haploinsufficiency","Little Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:620","2025-10-27T10:38:26-04:00"
"AR","HGNC:644","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:644","2020-12-08T17:09:48+00:00"
"ARCN1","HGNC:649","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:649","2022-05-10T16:22:31+00:00"
"ARFGEF2","HGNC:15853","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:15853","2026-01-23T11:53:34-05:00"
"ARG1","HGNC:663","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:663","2016-08-22T13:46:07-04:00"
"ARHGAP11B","HGNC:15782","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:15782","2023-03-28T13:48:23-04:00"
"ARHGAP31","HGNC:29216","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:29216","2023-06-13T16:29:25+00:00"
"ARHGEF4","HGNC:684","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:684","2018-04-05T18:17:22+00:00"
"ARHGEF6","HGNC:685","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:685","2012-04-25T19:40:11+00:00"
"ARHGEF9","HGNC:14561","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:14561","2021-11-25T02:41:01+00:00"
"ARID1A","HGNC:11110","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:11110","2020-05-27T16:53:48+00:00"
"ARID1B","HGNC:18040","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18040","2021-05-26T16:28:52+00:00"
"ARID2","HGNC:18037","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18037","2019-06-26T16:51:18+00:00"
"ARL6","HGNC:13210","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13210","2016-08-22T17:46:08+00:00"
"ARL6IP1","HGNC:697","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:697","2016-08-22T17:46:09+00:00"
"ARSA","HGNC:713","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:713","2012-09-05T14:38:59+00:00"
"ARSD","HGNC:717","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:717","2016-07-21T21:14:39+00:00"
"ARSL","HGNC:719","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:719","2012-07-12T19:08:24+00:00"
"ARX","HGNC:18060","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18060","2019-12-05T15:51:07+00:00"
"ASAH1","HGNC:735","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:735","2017-09-12T01:02:04+00:00"
"ASH1L","HGNC:19088","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:19088","2017-12-27T17:05:55+00:00"
"ASL","HGNC:746","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:746","2026-05-26T10:31:20-04:00"
"ASPA","HGNC:756","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:756","2026-02-27T11:17:49-05:00"
"ASPH","HGNC:757","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:757","2016-08-22T17:46:12+00:00"
"ASPM","HGNC:19048","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:19048","2026-01-23T11:35:18-05:00"
"ASTN2","HGNC:17021","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:17021","2021-03-09T17:57:18+00:00"
